route_type,origin_name,origin_zip,destination_name,destination_zip,distance_mi,drive_time_min,company_travel_time_min,slug,is_active,house_size,min_cost,max_cost,avg_cost,movers,trucks,min_hours,max_hours
long_distance,miami,33101,lauderdale-by-the-sea,33308,33.0,39,,miami-to-lauderdale-by-the-sea,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,lauderdale-by-the-sea,33308,33.0,39,,miami-to-lauderdale-by-the-sea,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
long_distance,miami,33101,lauderdale-by-the-sea,33308,33.0,39,,miami-to-lauderdale-by-the-sea,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
long_distance,miami,33101,lauderdale-by-the-sea,33308,33.0,39,,miami-to-lauderdale-by-the-sea,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
long_distance,miami,33101,cooper-city,33024,18.3,26,,miami-to-cooper-city,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,cooper-city,33024,18.3,26,,miami-to-cooper-city,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,cooper-city,33024,18.3,26,,miami-to-cooper-city,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
long_distance,miami,33101,cooper-city,33024,18.3,26,,miami-to-cooper-city,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
long_distance,miami,33101,cooper-city,33024,18.3,26,,miami-to-cooper-city,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
long_distance,miami,33101,coral-hills,33065,47.7,49,,miami-to-coral-hills,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,coral-hills,33065,47.7,49,,miami-to-coral-hills,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,coral-hills,33065,47.7,49,,miami-to-coral-hills,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
long_distance,miami,33101,coral-hills,33065,47.7,49,,miami-to-coral-hills,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
long_distance,miami,33101,coral-hills,33065,47.7,49,,miami-to-coral-hills,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
long_distance,miami,33101,west-palm-beach,33401,69.7,67,,miami-to-west-palm-beach,True,1_bedroom,1040,1400,1220,2,1,4.7,6.7
long_distance,miami,33101,west-palm-beach,33401,69.7,67,,miami-to-west-palm-beach,True,2_bedroom,1040,1400,1220,2,1,4.7,6.7
long_distance,miami,33101,west-palm-beach,33401,69.7,67,,miami-to-west-palm-beach,True,3_bedroom,1810,2230,2020,3,1,7.7,9.7
long_distance,miami,33101,west-palm-beach,33401,69.7,67,,miami-to-west-palm-beach,True,4_bedroom,2040,2520,2280,4,1,7.7,9.7
long_distance,miami,33101,west-palm-beach,33401,69.7,67,,miami-to-west-palm-beach,True,4plus_bedroom,3000,3480,3240,4,1,11.7,13.7
long_distance,miami,33101,boca-raton,33431,46.2,45,,miami-to-boca-raton,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,boca-raton,33431,46.2,45,,miami-to-boca-raton,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,boca-raton,33431,46.2,45,,miami-to-boca-raton,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
long_distance,miami,33101,boca-raton,33431,46.2,45,,miami-to-boca-raton,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
long_distance,miami,33101,boca-raton,33431,46.2,45,,miami-to-boca-raton,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
long_distance,miami,33101,delray-beach,33444,51.0,48,,miami-to-delray-beach,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,delray-beach,33444,51.0,48,,miami-to-delray-beach,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,delray-beach,33444,51.0,48,,miami-to-delray-beach,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
long_distance,miami,33101,delray-beach,33444,51.0,48,,miami-to-delray-beach,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
long_distance,miami,33101,delray-beach,33444,51.0,48,,miami-to-delray-beach,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
long_distance,miami,33101,boynton-beach,33435,55.7,53,,miami-to-boynton-beach,True,1_bedroom,944,1304,1124,2,1,4.1,6.1
long_distance,miami,33101,boynton-beach,33435,55.7,53,,miami-to-boynton-beach,True,2_bedroom,944,1304,1124,2,1,4.1,6.1
long_distance,miami,33101,boynton-beach,33435,55.7,53,,miami-to-boynton-beach,True,3_bedroom,1698,2118,1908,3,1,7.1,9.1
long_distance,miami,33101,boynton-beach,33435,55.7,53,,miami-to-boynton-beach,True,4_bedroom,1912,2392,2152,4,1,7.1,9.1
long_distance,miami,33101,boynton-beach,33435,55.7,53,,miami-to-boynton-beach,True,4plus_bedroom,2872,3352,3112,4,1,11.1,13.1
long_distance,miami,33101,lake-worth-beach,33460,62.0,59,,miami-to-lake-worth-beach,True,1_bedroom,992,1352,1172,2,1,4.4,6.4
long_distance,miami,33101,lake-worth-beach,33460,62.0,59,,miami-to-lake-worth-beach,True,2_bedroom,992,1352,1172,2,1,4.4,6.4
long_distance,miami,33101,lake-worth-beach,33460,62.0,59,,miami-to-lake-worth-beach,True,3_bedroom,1754,2174,1964,3,1,7.4,9.4
long_distance,miami,33101,lake-worth-beach,33460,62.0,59,,miami-to-lake-worth-beach,True,4_bedroom,1976,2456,2216,4,1,7.4,9.4
long_distance,miami,33101,lake-worth-beach,33460,62.0,59,,miami-to-lake-worth-beach,True,4plus_bedroom,2936,3416,3176,4,1,11.4,13.4
long_distance,miami,33101,palm-beach-gardens,33410,80.7,78,,miami-to-palm-beach-gardens,True,1_bedroom,1088,1448,1268,2,1,4.9,6.9
long_distance,miami,33101,palm-beach-gardens,33410,80.7,78,,miami-to-palm-beach-gardens,True,2_bedroom,1088,1448,1268,2,1,4.9,6.9
long_distance,miami,33101,palm-beach-gardens,33410,80.7,78,,miami-to-palm-beach-gardens,True,3_bedroom,1866,2286,2076,3,1,7.9,9.9
long_distance,miami,33101,palm-beach-gardens,33410,80.7,78,,miami-to-palm-beach-gardens,True,4_bedroom,2104,2584,2344,4,1,7.9,9.9
long_distance,miami,33101,palm-beach-gardens,33410,80.7,78,,miami-to-palm-beach-gardens,True,4plus_bedroom,3064,3544,3304,4,1,11.9,13.9
long_distance,miami,33101,jupiter,33458,87.2,82,,miami-to-jupiter,True,1_bedroom,1142,1502,1322,2,1,5.2,7.2
long_distance,miami,33101,jupiter,33458,87.2,82,,miami-to-jupiter,True,2_bedroom,1142,1502,1322,2,1,5.2,7.2
long_distance,miami,33101,jupiter,33458,87.2,82,,miami-to-jupiter,True,3_bedroom,1929,2349,2139,3,1,8.2,10.2
long_distance,miami,33101,jupiter,33458,87.2,82,,miami-to-jupiter,True,4_bedroom,2176,2656,2416,4,1,8.2,10.2
long_distance,miami,33101,jupiter,33458,87.2,82,,miami-to-jupiter,True,4plus_bedroom,3136,3616,3376,4,1,12.2,14.2
long_distance,miami,33101,wellington,33414,67.9,76,,miami-to-wellington,True,1_bedroom,1010,1370,1190,2,1,4.5,6.5
long_distance,miami,33101,wellington,33414,67.9,76,,miami-to-wellington,True,2_bedroom,1010,1370,1190,2,1,4.5,6.5
long_distance,miami,33101,wellington,33414,67.9,76,,miami-to-wellington,True,3_bedroom,1775,2195,1985,3,1,7.5,9.5
long_distance,miami,33101,wellington,33414,67.9,76,,miami-to-wellington,True,4_bedroom,2000,2480,2240,4,1,7.5,9.5
long_distance,miami,33101,wellington,33414,67.9,76,,miami-to-wellington,True,4plus_bedroom,2960,3440,3200,4,1,11.5,13.5
long_distance,miami,33101,greenacres,33463,64.8,65,,miami-to-greenacres,True,1_bedroom,992,1352,1172,2,1,4.4,6.4
long_distance,miami,33101,greenacres,33463,64.8,65,,miami-to-greenacres,True,2_bedroom,992,1352,1172,2,1,4.4,6.4
long_distance,miami,33101,greenacres,33463,64.8,65,,miami-to-greenacres,True,3_bedroom,1754,2174,1964,3,1,7.4,9.4
long_distance,miami,33101,greenacres,33463,64.8,65,,miami-to-greenacres,True,4_bedroom,1976,2456,2216,4,1,7.4,9.4
long_distance,miami,33101,greenacres,33463,64.8,65,,miami-to-greenacres,True,4plus_bedroom,2936,3416,3176,4,1,11.4,13.4
long_distance,miami,33101,riviera-beach,33404,73.9,71,,miami-to-riviera-beach,True,1_bedroom,1070,1430,1250,2,1,4.8,6.8
long_distance,miami,33101,riviera-beach,33404,73.9,71,,miami-to-riviera-beach,True,2_bedroom,1070,1430,1250,2,1,4.8,6.8
long_distance,miami,33101,riviera-beach,33404,73.9,71,,miami-to-riviera-beach,True,3_bedroom,1845,2265,2055,3,1,7.8,9.8
long_distance,miami,33101,riviera-beach,33404,73.9,71,,miami-to-riviera-beach,True,4_bedroom,2080,2560,2320,4,1,7.8,9.8
long_distance,miami,33101,riviera-beach,33404,73.9,71,,miami-to-riviera-beach,True,4plus_bedroom,3040,3520,3280,4,1,11.8,13.8
long_distance,miami,33101,royal-palm-beach,33411,69.0,72,,miami-to-royal-palm-beach,True,1_bedroom,1034,1394,1214,2,1,4.6,6.6
long_distance,miami,33101,royal-palm-beach,33411,69.0,72,,miami-to-royal-palm-beach,True,2_bedroom,1034,1394,1214,2,1,4.6,6.6
long_distance,miami,33101,royal-palm-beach,33411,69.0,72,,miami-to-royal-palm-beach,True,3_bedroom,1803,2223,2013,3,1,7.6,9.6
long_distance,miami,33101,royal-palm-beach,33411,69.0,72,,miami-to-royal-palm-beach,True,4_bedroom,2032,2512,2272,4,1,7.6,9.6
long_distance,miami,33101,royal-palm-beach,33411,69.0,72,,miami-to-royal-palm-beach,True,4plus_bedroom,2992,3472,3232,4,1,11.6,13.6
long_distance,miami,33101,lantana,33462,59.8,57,,miami-to-lantana,True,1_bedroom,974,1334,1154,2,1,4.3,6.3
long_distance,miami,33101,lantana,33462,59.8,57,,miami-to-lantana,True,2_bedroom,974,1334,1154,2,1,4.3,6.3
long_distance,miami,33101,lantana,33462,59.8,57,,miami-to-lantana,True,3_bedroom,1733,2153,1943,3,1,7.3,9.3
long_distance,miami,33101,lantana,33462,59.8,57,,miami-to-lantana,True,4_bedroom,1952,2432,2192,4,1,7.3,9.3
long_distance,miami,33101,lantana,33462,59.8,57,,miami-to-lantana,True,4plus_bedroom,2912,3392,3152,4,1,11.3,13.3
long_distance,miami,33101,north-palm-beach,33408,80.4,77,,miami-to-north-palm-beach,True,1_bedroom,1088,1448,1268,2,1,4.9,6.9
long_distance,miami,33101,north-palm-beach,33408,80.4,77,,miami-to-north-palm-beach,True,2_bedroom,1088,1448,1268,2,1,4.9,6.9
long_distance,miami,33101,north-palm-beach,33408,80.4,77,,miami-to-north-palm-beach,True,3_bedroom,1866,2286,2076,3,1,7.9,9.9
long_distance,miami,33101,north-palm-beach,33408,80.4,77,,miami-to-north-palm-beach,True,4_bedroom,2104,2584,2344,4,1,7.9,9.9
long_distance,miami,33101,north-palm-beach,33408,80.4,77,,miami-to-north-palm-beach,True,4plus_bedroom,3064,3544,3304,4,1,11.9,13.9
